run;pdb;geom;detector distance;mode
56;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
57;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
58;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
59;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
60;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
61;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
62;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
63;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
64;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
65;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
66;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
67;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
68;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
69;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
70;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
71;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
72;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
73;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
74;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
75;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
76;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
77;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
78;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
79;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
80;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
81;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
82;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
83;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
84;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
85;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
86;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
87;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
88;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
89;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;;300;16M
